iter	Logloss
0	0.5987691793
1	0.5244764723
2	0.4680610863
3	0.4258571315
4	0.3863145983
5	0.3500210186
6	0.3262570355
7	0.3036878431
8	0.2878786207
9	0.2695457012
10	0.2550514324
11	0.2414165188
12	0.2311445013
13	0.2182304967
14	0.2076575477
15	0.1971762717
16	0.1896980561
17	0.1832798623
18	0.1781983762
19	0.1718838494
20	0.1653028265
21	0.1611967688
22	0.157125662
23	0.1532099612
24	0.1495873047
25	0.1460326083
26	0.1416099308
27	0.1380352244
28	0.1349694707
29	0.1310987988
30	0.1284628688
31	0.1243221352
32	0.1208553916
33	0.1191639256
34	0.1151393341
35	0.1127556895
36	0.109656712
37	0.1079851529
38	0.1064383962
39	0.1046949335
40	0.1027604266
41	0.1001155269
42	0.09823000109
43	0.09694764421
44	0.09556616534
45	0.09297858058
46	0.09046274477
47	0.08881420273
48	0.08754468179
49	0.08617234445
50	0.08447324048
51	0.08238247708
52	0.08062250979
53	0.07856485006
54	0.07676969992
55	0.07593569025
56	0.07471387021
57	0.07415923557
58	0.07304440748
59	0.07092753831
60	0.06941888569
61	0.06837803609
62	0.06792919056
63	0.06687739089
64	0.06619972796
65	0.06558806187
66	0.06434354267
67	0.06398144284
68	0.06264723529
69	0.06077294736
70	0.05947455844
71	0.05889544186
72	0.05814670872
73	0.05749589044
74	0.05608174608
75	0.05515707721
76	0.05364673632
77	0.05222205858
78	0.05120124903
79	0.05059625437
80	0.0493976404
81	0.04860717756
82	0.04755589769
83	0.0466782252
84	0.04603202064
85	0.04547872629
86	0.04470064404
87	0.04398388906
88	0.04351018785
89	0.04305714959
90	0.04246412741
91	0.04165682922
92	0.04095318081
93	0.04053157944
94	0.03997414391
95	0.03947351215
96	0.03853712426
97	0.03738669662
98	0.03680506698
99	0.03646789585
100	0.03585789655
101	0.03532114544
102	0.03461520736
103	0.03402887808
104	0.03359595935
105	0.03331443855
106	0.03260317364
107	0.03206868215
108	0.03176438916
109	0.03130007649
110	0.03068455275
111	0.0303305076
112	0.02987353866
113	0.02938042031
114	0.02888674349
115	0.02845622827
116	0.02792889578
117	0.02750450212
118	0.02711113938
119	0.02672531798
120	0.02627999503
121	0.02598586813
122	0.02561788946
123	0.0251192617
124	0.02482239191
125	0.02459617778
126	0.02413566263
127	0.02366832999
128	0.0232435583
129	0.02309278969
130	0.02288857022
131	0.02262859087
132	0.02224352124
133	0.02190547806
134	0.02164700439
135	0.021326645
136	0.02102936496
137	0.02066282968
138	0.02044030353
139	0.02004654987
140	0.01979075251
141	0.01961761552
142	0.01933124044
143	0.01914403675
144	0.01886430517
145	0.01855903488
146	0.01835583137
147	0.01801226161
148	0.01787158713
149	0.01766422633
150	0.01741827608
151	0.01719880104
152	0.01698559899
153	0.01677196949
154	0.01662063813
155	0.01643650274
156	0.0162316346
157	0.01604114352
158	0.01589177106
159	0.01571461102
160	0.01550946902
161	0.01530825447
162	0.0151749452
163	0.01503406344
164	0.01485560821
165	0.01472291646
166	0.01458804672
167	0.01445379987
168	0.01430673427
169	0.01417863584
170	0.01405332325
171	0.01389616567
172	0.01377512958
173	0.0136993318
174	0.0136004042
175	0.0134552685
176	0.01332895605
177	0.01319900289
178	0.0130664529
179	0.01296316289
180	0.0128191774
181	0.01273250472
182	0.01261417608
183	0.01253556346
184	0.01242809897
185	0.01231142207
186	0.01220423896
187	0.01208204836
188	0.01204481426
189	0.01197333594
190	0.01188617998
191	0.01182298403
192	0.01170002448
193	0.01159140226
194	0.01149598328
195	0.01137657853
196	0.01125506345
197	0.01112635286
198	0.01103576884
199	0.01094377148
200	0.0108487896
201	0.01075214309
202	0.01063457803
203	0.01057231319
204	0.01053624969
205	0.01045329399
206	0.0104028545
207	0.01031226296
208	0.01031221141
209	0.01027009509
210	0.01017891716
211	0.01010632945
212	0.0100327655
213	0.009964550938
214	0.009859815374
215	0.009787498294
216	0.009717314093
217	0.009651583594
218	0.009559625978
219	0.009519424524
220	0.00946117951
221	0.009362958573
222	0.009319391337
223	0.009233687375
224	0.009140068346
225	0.009062895904
226	0.008977087231
227	0.008934737863
228	0.008847756429
229	0.008804957072
230	0.008763794426
231	0.008703489024
232	0.008657586467
233	0.00856736544
234	0.00849982049
235	0.008473310385
236	0.008410970907
237	0.008360853603
238	0.008300844613
239	0.008232944184
240	0.008157085728
241	0.008105368765
242	0.0080652688
243	0.007988025476
244	0.007969951844
245	0.007942228167
246	0.007880268333
247	0.007820080529
248	0.007753035507
249	0.007688312917
250	0.007636483725
251	0.007602187964
252	0.007525500414
253	0.007465686884
254	0.007422103538
255	0.00737189817
256	0.007340752327
257	0.007312828356
258	0.007266510714
259	0.007231693547
260	0.007205660816
261	0.007152790422
262	0.007107593455
263	0.007064318872
264	0.007010687579
265	0.006977326698
266	0.006922235897
267	0.006909663613
268	0.006866684905
269	0.006833584459
270	0.006817664649
271	0.006793162307
272	0.006764967162
273	0.00672780125
274	0.006678639232
275	0.006656197277
276	0.006606928937
